Angle,Distance,StartBit,Health
262.44,678.5,0.0,15.0
269.41,0.0,0.0,0.0
270.58,0.0,0.0,0.0
264.19,3571.75,0.0,15.0
265.33,3634.25,0.0,15.0
266.52,3708.75,0.0,15.0
267.7,3780.0,0.0,15.0
268.86,3879.0,0.0,15.0
270.02,3976.25,0.0,15.0
278.7,0.0,0.0,0.0
274.63,551.5,0.0,15.0
276.0,365.75,0.0,15.0
28.25,12495.5,0.0,15.0
11.25,591.5,1.0,1.0
32.83,359.0,0.0,15.0
125.31,1170.25,0.0,15.0
270.14,3969.25,1.0,1.0
11.05,354.75,1.0,5.0
48.52,1785.25,0.0,15.0
412.22,2025.75,1.0,61.0
124.03,394.75,1.0,59.0
72.23,2284.25,0.0,0.0
282.28,3969.5,1.0,29.0
79.16,442.25,0.0,15.0
82.58,457.5,0.0,0.0
336.73,3969.75,0.0,0.0
90.55,3016.5,0.0,15.0
97.63,285.25,0.0,15.0
101.58,0.0,0.0,0.0
103.92,128.0,0.0,0.0
112.14,0.0,0.0,0.0
4.98,3699.75,0.0,15.0
110.5,3612.75,0.0,15.0
116.44,911.25,0.0,15.0
122.36,896.25,0.0,15.0
195.52,10895.5,0.0,15.0
129.14,856.25,0.0,15.0
463.47,4880.25,0.0,15.0
136.56,829.25,0.0,15.0
137.73,828.0,0.0,15.0
24.17,13775.5,0.0,15.0
412.56,3971.0,0.0,15.0
151.95,824.75,0.0,15.0
153.05,825.25,0.0,15.0
52.59,3971.25,1.0,47.0
160.09,845.5,0.0,15.0
161.17,7060.25,0.0,15.0
168.08,896.0,0.0,15.0
175.56,0.0,0.0,0.0
28.45,6735.5,1.0,21.0
179.92,1642.75,0.0,15.0
180.31,1664.25,0.0,15.0
183.8,1734.0,0.0,15.0
184.95,6003.25,0.0,15.0
76.39,6153.75,0.0,15.0
28.77,2831.5,0.0,24.0
199.91,6494.5,0.0,15.0
124.33,6549.25,0.0,25.0
217.78,498.5,0.0,15.0
218.73,500.0,0.0,15.0
124.05,7112.25,0.0,15.0
234.05,486.5,0.0,47.0
235.5,4005.5,0.0,15.0
326.92,3969.75,1.0,27.0
125.31,7903.75,0.0,15.0
251.31,566.75,0.0,15.0
252.52,580.0,0.0,15.0
259.23,0.0,0.0,15.0
260.41,0.0,0.0,15.0
21.0,10319.5,1.0,32.0
268.64,0.0,0.0,0.0
262.27,3459.5,0.0,15.0
265.59,8518.25,0.0,15.0
5.86,8860.75,0.0,15.0
276.38,531.75,0.0,8.0
277.39,9122.25,0.0,10.0
286.25,0.0,0.0,0.0
124.45,9029.25,0.0,5.0
287.72,630.25,0.0,15.0
291.22,614.75,0.0,15.0
124.06,3970.25,0.0,26.0
91.16,128.0,1.0,42.0
98.02,40.0,0.0,0.0
321.55,0.0,0.0,0.0
125.55,10515.75,0.0,15.0
5.75,10624.75,0.0,15.0
1.64,5455.5,0.0,12.0
339.03,3968.0,0.0,15.0
51.33,12495.5,1.0,45.0
348.75,442.0,0.0,9.0
354.41,0.0,0.0,0.0
350.98,460.5,0.0,15.0
352.19,3961.5,0.0,15.0
365.38,3969.5,1.0,25.0
350.05,0.75,1.0,30.0
8.53,0.0,0.0,0.0
6.2,431.75,0.0,15.0
7.83,426.25,0.0,15.0
124.81,355.75,0.0,15.0
486.06,3969.25,1.0,57.0
26.78,366.0,0.0,15.0
314.11,1137.25,1.0,52.0
42.53,353.5,0.0,15.0
45.88,354.25,0.0,15.0
58.13,0.0,0.0,0.0
59.31,0.0,0.0,0.0
60.48,0.0,0.0,0.0
57.78,368.5,0.0,15.0
59.02,13767.5,0.0,15.0
65.89,385.5,0.0,15.0
66.8,395.0,0.0,15.0
72.25,0.0,0.0,0.0
73.42,0.0,0.0,0.0
70.09,399.25,0.0,15.0
74.83,419.5,0.0,15.0
338.28,2945.5,1.0,58.0
79.42,442.75,0.0,15.0
87.58,3968.0,0.0,0.0
90.53,534.25,0.0,15.0
91.64,2177.0,0.0,13.0
106.42,0.0,0.0,0.0
109.97,3968.0,0.0,13.0
102.41,3971.25,1.0,40.0
124.44,3803.75,1.0,41.0
124.09,3914.25,1.0,61.0
123.56,882.25,0.0,15.0
124.72,867.25,0.0,15.0
125.11,4181.75,0.0,15.0
26.58,8911.5,1.0,16.0
124.09,4296.75,0.0,16.0
124.89,4560.75,0.0,15.0
143.61,820.5,0.0,15.0
144.81,826.5,0.0,15.0
145.95,830.0,0.0,15.0
147.22,6515.25,0.0,15.0
151.86,832.5,0.0,15.0
155.3,7887.5,0.0,15.0
26.67,12239.5,1.0,3.0
167.06,878.25,0.0,15.0
182.8,1686.25,0.0,0.0
179.22,6095.5,0.0,15.0
187.31,8527.5,0.0,15.0
196.38,6863.5,0.0,15.0
368.02,3978.75,0.0,15.0
204.78,3978.75,1.0,51.0
209.48,2698.25,0.0,15.0
210.66,2666.0,0.0,15.0
219.19,0.0,0.0,0.0
217.78,499.75,0.0,15.0
218.98,501.25,0.0,15.0
124.05,7117.75,0.0,57.0
223.52,540.0,0.0,10.0
225.78,546.5,0.0,15.0
226.88,471.0,0.0,15.0
230.77,7537.5,0.0,15.0
235.36,487.0,0.0,15.0
236.56,487.0,0.0,15.0
237.78,4007.75,0.0,15.0
24.05,3970.0,0.0,41.0
244.94,531.25,1.0,46.0
124.97,8014.25,0.0,15.0
124.73,8261.75,0.0,15.0
1.03,3968.0,1.0,41.0
267.02,5616.5,0.0,15.0
100.05,3970.0,0.0,61.0
16.06,10058.5,1.0,34.0
124.05,128.0,0.0,41.0
112.39,14287.5,0.0,35.0
307.13,6991.5,1.0,40.0
18.06,10319.5,1.0,25.0
306.47,9856.0,0.0,14.0
309.98,0.0,0.0,0.0
313.3,175.5,0.0,15.0
0.23,14528.5,0.0,0.0
321.14,15552.5,0.0,15.0
331.06,0.0,0.0,0.0
329.42,532.0,0.0,12.0
338.25,0.0,0.0,11.0
27.44,5071.5,0.0,15.0
124.09,10940.25,0.0,5.0
124.08,10956.75,0.0,28.0
345.08,459.0,1.0,18.0
346.33,129.75,0.0,15.0
350.97,14799.25,0.0,15.0
363.38,3969.5,1.0,23.0
0.06,3968.0,0.0,0.0
8.91,418.75,0.0,15.0
116.05,14031.5,1.0,0.0
434.08,833.25,1.0,12.0
35.84,356.25,0.0,15.0
124.72,1248.75,0.0,15.0
124.03,1366.75,0.0,33.0
124.03,1405.75,1.0,33.0
274.17,3969.25,1.0,2.0
278.17,6464.5,1.0,49.0
55.95,1856.0,0.0,0.0
59.48,0.0,0.0,0.0
60.66,0.0,0.0,0.0
57.88,367.25,0.0,15.0
59.09,369.75,0.0,15.0
151.94,14663.75,0.0,15.0
100.25,4360.75,1.0,27.0
174.27,3969.5,1.0,56.0
79.14,438.25,1.0,9.0
79.66,442.0,0.0,15.0
4.05,2808.75,1.0,3.0
124.19,2832.75,0.0,15.0
261.47,129.0,0.0,8.0
106.63,0.0,0.0,0.0
107.8,0.0,0.0,0.0
0.42,128.0,1.0,5.0
108.59,893.5,0.0,15.0
109.83,3971.5,0.0,10.0
360.45,3971.25,1.0,39.0
24.09,3971.5,1.0,49.0
127.47,862.75,0.0,15.0
128.66,856.0,0.0,15.0
26.72,4175.5,1.0,16.0
124.09,828.75,1.0,2.0
138.08,825.25,0.0,15.0
146.33,824.75,0.0,15.0
147.59,817.5,0.0,15.0
502.75,13330.5,0.0,15.0
151.03,825.5,0.0,15.0
154.53,837.25,0.0,15.0
155.7,837.75,0.0,15.0
157.97,837.75,0.0,15.0
124.09,5206.25,1.0,16.0
124.09,5317.75,0.0,23.0
284.67,3971.5,1.0,12.0
185.3,1816.0,1.0,60.0
4.45,3975.25,0.0,14.0
194.11,1066.0,0.0,15.0
205.44,12239.5,0.0,0.0
124.33,2756.75,1.0,62.0
206.17,14415.5,0.0,15.0
276.81,3978.25,1.0,30.0
124.05,6937.25,0.0,15.0
217.97,499.5,0.0,15.0
219.03,499.25,0.0,15.0
220.25,502.0,0.0,15.0
221.58,0.0,0.0,15.0
224.61,597.0,0.0,15.0
15.98,15311.5,0.0,28.0
124.05,7467.75,0.0,28.0
236.05,486.75,1.0,41.0
125.97,7730.25,0.0,15.0
242.63,517.25,0.0,15.0
246.19,531.25,0.0,15.0
247.09,7979.75,0.0,15.0
250.52,3968.0,0.0,15.0
1.0,8230.25,1.0,50.0
260.2,2434.25,0.0,15.0
459.03,15436.5,1.0,11.0
15.84,458.5,0.0,33.0
274.3,15936.75,0.0,12.0
15.33,463.5,0.0,34.0
287.73,9024.0,0.0,0.0
284.86,576.75,0.0,15.0
290.34,15212.25,0.0,15.0
18.84,655.5,0.0,36.0
304.19,0.0,0.0,15.0
0.88,3456.0,0.0,0.0
313.34,10109.75,0.0,15.0
31.23,3970.25,1.0,24.0
328.86,0.0,0.0,15.0
331.73,538.5,0.0,8.0
113.3,3970.5,1.0,27.0
23.81,14543.5,1.0,42.0
348.81,487.5,0.0,9.0
99.36,3969.75,1.0,33.0
124.05,11390.25,1.0,0.0
3.02,0.0,0.0,0.0
5.25,128.0,0.0,0.0
5.58,437.25,0.0,15.0
192.03,3969.5,0.0,15.0
17.56,387.0,0.0,15.0
38.77,15426.5,0.0,15.0
124.03,907.25,0.0,49.0
124.03,955.75,0.0,43.0
31.73,358.75,0.0,15.0
11.14,5967.5,1.0,4.0
270.14,3969.25,1.0,37.0
11.03,847.5,1.0,5.0
280.17,6.75,1.0,47.0
55.81,0.0,0.0,0.0
56.98,128.0,0.0,0.0
0.22,1886.75,1.0,43.0
124.03,14599.75,0.0,51.0
66.7,395.5,0.0,15.0
70.56,400.25,0.0,0.0
71.38,405.5,0.0,15.0
242.28,3969.5,0.0,15.0
13.11,15823.5,1.0,9.0
